"NUTS_ID","TIMESTAMP","MEDIAN"
"AD","2015-01-01",0.578
"AL011","2015-01-01",0.11
"AL012","2015-01-01",0.684
"AL013","2015-01-01",-0.056
"AL014","2015-01-01",0.351
"AL015","2015-01-01",-0.056
"AL021","2015-01-01",0.078
"AL022","2015-01-01",0.621
"AL031","2015-01-01",0.344
"AL032","2015-01-01",0.636
"AL033","2015-01-01",0.246
"AL034","2015-01-01",-0.092
"AL035","2015-01-01",0.24
"AT111","2015-01-01",0.87
"AT112","2015-01-01",0.7
"AT113","2015-01-01",0.082
"AT121","2015-01-01",0.442
"AT122","2015-01-01",0.852
"AT123","2015-01-01",-0.478
"AT124","2015-01-01",-0.234
"AT125","2015-01-01",1.227
"AT126","2015-01-01",-0.162
"AT127","2015-01-01",-0.082
"AT130","2015-01-01",0.05
"AT211","2015-01-01",0.176
"AT212","2015-01-01",0.098
"AT213","2015-01-01",0.662
"AT221","2015-01-01",0.568
"AT222","2015-01-01",0.24
"AT223","2015-01-01",0.032
"AT224","2015-01-01",0.501
"AT225","2015-01-01",0.702
"AT226","2015-01-01",0.04
"AT311","2015-01-01",-0.696
"AT312","2015-01-01",0.053
"AT313","2015-01-01",0.621
"AT314","2015-01-01",0.557
"AT315","2015-01-01",0.206
"AT321","2015-01-01",-0.139
"AT322","2015-01-01",0.157
"AT323","2015-01-01",-0.08
"AT331","2015-01-01",-0.075
"AT332","2015-01-01",-0.276
"AT333","2015-01-01",0.554
"AT334","2015-01-01",0.254
"AT335","2015-01-01",-0.233
"AT341","2015-01-01",-0.296
"AT342","2015-01-01",0.295
"BA","2015-01-01",0.179
"BE211","2015-01-01",-0.542
"BE212","2015-01-01",0.515
"BE213","2015-01-01",-0.17
"BE223","2015-01-01",-0.793
"BE224","2015-01-01",-1.183
"BE225","2015-01-01",-0.474
"BE231","2015-01-01",-1.075
"BE232","2015-01-01",0.103
"BE233","2015-01-01",0.819
"BE234","2015-01-01",0.654
"BE235","2015-01-01",0.259
"BE236","2015-01-01",-0.266
"BE241","2015-01-01",-1.167
"BE242","2015-01-01",-0.736
"BE251","2015-01-01",-0.522
"BE252","2015-01-01",0.331
"BE253","2015-01-01",-0.225
"BE254","2015-01-01",0.635
"BE255","2015-01-01",-0.743
"BE256","2015-01-01",-0.677
"BE257","2015-01-01",0.353
"BE258","2015-01-01",-0.053
"BE310","2015-01-01",-1.389
"BE323","2015-01-01",-0.058
"BE328","2015-01-01",0.132
"BE329","2015-01-01",-1.048
"BE32A","2015-01-01",-0.062
"BE32B","2015-01-01",
"BE32C","2015-01-01",-1.297
"BE32D","2015-01-01",
"BE331","2015-01-01",-1.297
"BE332","2015-01-01",-0.679
"BE334","2015-01-01",-1.207
"BE335","2015-01-01",-1.322
"BE336","2015-01-01",-1.31
"BE341","2015-01-01",-0.895
"BE342","2015-01-01",-1.674
"BE343","2015-01-01",-1.717
"BE344","2015-01-01",-0.583
"BE345","2015-01-01",-0.364
"BE351","2015-01-01",-1.628
"BE352","2015-01-01",-1.263
"BE353","2015-01-01",
"BG311","2015-01-01",0.066
"BG312","2015-01-01",0.284
"BG313","2015-01-01",0.169
"BG314","2015-01-01",0.586
"BG315","2015-01-01",0.329
"BG321","2015-01-01",0.138
"BG322","2015-01-01",0.298
"BG323","2015-01-01",-0.159
"BG324","2015-01-01",-0.032
"BG325","2015-01-01",-0.326
"BG331","2015-01-01",0.071
"BG332","2015-01-01",-0.25
"BG333","2015-01-01",0.004
"BG334","2015-01-01",-0.014
"BG341","2015-01-01",-0.309
"BG342","2015-01-01",0.226
"BG343","2015-01-01",-0.892
"BG344","2015-01-01",-0.007
"BG411","2015-01-01",0.443
"BG412","2015-01-01",0.403
"BG413","2015-01-01",0.315
"BG414","2015-01-01",-0.29
"BG415","2015-01-01",0.011
"BG421","2015-01-01",0.37
"BG422","2015-01-01",-0.468
"BG423","2015-01-01",0.339
"BG424","2015-01-01",0.452
"BG425","2015-01-01",0.049
"CH011","2015-01-01",0.411
"CH012","2015-01-01",0.423
"CH013","2015-01-01",0.486
"CH021","2015-01-01",0.991
"CH022","2015-01-01",1.047
"CH023","2015-01-01",1.166
"CH024","2015-01-01",-0.533
"CH025","2015-01-01",0.609
"CH032","2015-01-01",0.954
"CH033","2015-01-01",1.388
"CH040","2015-01-01",0.756
"CH051","2015-01-01",-0.015
"CH052","2015-01-01",-0.324
"CH053","2015-01-01",0.032
"CH054","2015-01-01",0.267
"CH055","2015-01-01",0.212
"CH056","2015-01-01",-0.072
"CH057","2015-01-01",0.682
"CH061","2015-01-01",1.508
"CH062","2015-01-01",0.057
"CH063","2015-01-01",0.276
"CH064","2015-01-01",1.321
"CH065","2015-01-01",0.936
"CH066","2015-01-01",1.255
"CH070","2015-01-01",0.47
"CY000","2015-01-01",0.836
"CZ010","2015-01-01",1.127
"CZ020","2015-01-01",0.814
"CZ031","2015-01-01",0.085
"CZ032","2015-01-01",0.258
"CZ041","2015-01-01",0.023
"CZ042","2015-01-01",0.441
"CZ051","2015-01-01",-0.479
"CZ052","2015-01-01",0.063
"CZ053","2015-01-01",0.681
"CZ063","2015-01-01",-0.008
"CZ064","2015-01-01",-0.165
"CZ071","2015-01-01",-0.808
"CZ072","2015-01-01",-0.789
"CZ080","2015-01-01",-1.153
"DE112","2015-01-01",-0.505
"DE113","2015-01-01",-1.188
"DE114","2015-01-01",-1.286
"DE115","2015-01-01",0.914
"DE116","2015-01-01",-1.009
"DE118","2015-01-01",0.236
"DE119","2015-01-01",-1.172
"DE11A","2015-01-01",-1.332
"DE11B","2015-01-01",-1.211
"DE11C","2015-01-01",0.324
"DE11D","2015-01-01",-0.715
"DE121","2015-01-01",
"DE122","2015-01-01",
"DE123","2015-01-01",-1.497
"DE124","2015-01-01",-1.659
"DE125","2015-01-01",
"DE127","2015-01-01",-1.203
"DE128","2015-01-01",-1.148
"DE129","2015-01-01",0.515
"DE12A","2015-01-01",-1.095
"DE12B","2015-01-01",-0.504
"DE12C","2015-01-01",-0.957
"DE131","2015-01-01",-0.876
"DE132","2015-01-01",-0.373
"DE133","2015-01-01",0.145
"DE134","2015-01-01",-0.879
"DE135","2015-01-01",-0.744
"DE136","2015-01-01",-0.78
"DE137","2015-01-01",-0.97
"DE138","2015-01-01",0.181
"DE139","2015-01-01",0.776
"DE13A","2015-01-01",-0.566
"DE141","2015-01-01",-1.187
"DE142","2015-01-01",-1.149
"DE143","2015-01-01",-0.935
"DE144","2015-01-01",
"DE145","2015-01-01",-0.673
"DE146","2015-01-01",-1.611
"DE147","2015-01-01",-0.175
"DE148","2015-01-01",0.154
"DE149","2015-01-01",-0.208
"DE211","2015-01-01",-0.715
"DE214","2015-01-01",-0.774
"DE215","2015-01-01",0.698
"DE216","2015-01-01",0.179
"DE217","2015-01-01",0.487
"DE218","2015-01-01",-1.056
"DE219","2015-01-01",-1.069
"DE21A","2015-01-01",-0.136
"DE21B","2015-01-01",-0.658
"DE21C","2015-01-01",-0.547
"DE21D","2015-01-01",0.277
"DE21E","2015-01-01",-0.312
"DE21F","2015-01-01",0.602
"DE21G","2015-01-01",-1.317
"DE21H","2015-01-01",-0.835
"DE21I","2015-01-01",-0.751
"DE21J","2015-01-01",-0.961
"DE21K","2015-01-01",-0.753
"DE21L","2015-01-01",-0.366
"DE21M","2015-01-01",-0.655
"DE21N","2015-01-01",0.766
"DE223","2015-01-01",1.031
"DE224","2015-01-01",0.451
"DE225","2015-01-01",0.966
"DE226","2015-01-01",-1.107
"DE227","2015-01-01",-1.381
"DE228","2015-01-01",0.535
"DE229","2015-01-01",1.095
"DE22A","2015-01-01",-1.101
"DE22B","2015-01-01",0.986
"DE22C","2015-01-01",-0.646
"DE231","2015-01-01",
"DE234","2015-01-01",-1.438
"DE235","2015-01-01",-0.412
"DE236","2015-01-01",-1.41
"DE237","2015-01-01",-1.464
"DE238","2015-01-01",0.358
"DE239","2015-01-01",-0.533
"DE23A","2015-01-01",-1.375
"DE241","2015-01-01",
"DE244","2015-01-01",
"DE245","2015-01-01",-0.825
"DE246","2015-01-01",-1.551
"DE247","2015-01-01",-1.554
"DE248","2015-01-01",-1.194
"DE249","2015-01-01",
"DE24A","2015-01-01",
"DE24B","2015-01-01",-1.53
"DE24C","2015-01-01",
"DE24D","2015-01-01",
"DE251","2015-01-01",-1.24
"DE252","2015-01-01",-1.367
"DE254","2015-01-01",
"DE256","2015-01-01",-1.204
"DE257","2015-01-01",-1.588
"DE258","2015-01-01",-1.28
"DE259","2015-01-01",-1.49
"DE25A","2015-01-01",-1.432
"DE25B","2015-01-01",-1.403
"DE25C","2015-01-01",-1.371
"DE264","2015-01-01",-1.546
"DE265","2015-01-01",-0.885
"DE266","2015-01-01",-1.749
"DE267","2015-01-01",-1.131
"DE268","2015-01-01",-1.391
"DE269","2015-01-01",-1.309
"DE26A","2015-01-01",-0.96
"DE26B","2015-01-01",-0.297
"DE26C","2015-01-01",-1.177
"DE271","2015-01-01",0.622
"DE272","2015-01-01",0.745
"DE273","2015-01-01",-0.005
"DE274","2015-01-01",
"DE275","2015-01-01",-0.096
"DE276","2015-01-01",-0.271
"DE277","2015-01-01",-0.663
"DE278","2015-01-01",-1.332
"DE279","2015-01-01",-1.602
"DE27A","2015-01-01",0.027
"DE27B","2015-01-01",0.579
"DE27C","2015-01-01",-1.015
"DE27D","2015-01-01",-0.439
"DE27E","2015-01-01",0.06
"DE300","2015-01-01",
"DE401","2015-01-01",
"DE402","2015-01-01",0.961
"DE403","2015-01-01",
"DE404","2015-01-01",
"DE405","2015-01-01",
"DE406","2015-01-01",0.829
"DE407","2015-01-01",0.41
"DE408","2015-01-01",
"DE409","2015-01-01",
"DE40A","2015-01-01",
"DE40B","2015-01-01",0.7
"DE40C","2015-01-01",0.282
"DE40D","2015-01-01",
"DE40E","2015-01-01",1.305
"DE40F","2015-01-01",
"DE40G","2015-01-01",1.239
"DE40H","2015-01-01",0.724
"DE40I","2015-01-01",
"DE501","2015-01-01",
"DE502","2015-01-01",
"DE600","2015-01-01",
"DE711","2015-01-01",-1.396
"DE714","2015-01-01",-1.778
"DE715","2015-01-01",-1.317
"DE716","2015-01-01",-1.048
"DE717","2015-01-01",-0.945
"DE718","2015-01-01",-1.485
"DE719","2015-01-01",-1.484
