NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
AL011,2005-01-01,.614                                                           
AL013,2005-01-01,0                                                              
AL014,2005-01-01,.649                                                           
AL015,2005-01-01,.591                                                           
AL021,2005-01-01,.276                                                           
AL022,2005-01-01,.297                                                           
AL031,2005-01-01,0                                                              
AL032,2005-01-01,.297                                                           
AL033,2005-01-01,0                                                              
AL034,2005-01-01,0                                                              
AL035,2005-01-01,0                                                              
AT112,2005-01-01,0                                                              
AT113,2005-01-01,.381                                                           
AT121,2005-01-01,0                                                              
AT122,2005-01-01,0                                                              
AT123,2005-01-01,0                                                              
AT124,2005-01-01,0                                                              
AT125,2005-01-01,0                                                              
AT126,2005-01-01,0                                                              
AT127,2005-01-01,0                                                              
AT130,2005-01-01,0                                                              
AT211,2005-01-01,0                                                              
AT212,2005-01-01,0                                                              
AT213,2005-01-01,0                                                              
AT221,2005-01-01,0                                                              
AT222,2005-01-01,0                                                              
AT223,2005-01-01,0                                                              
AT224,2005-01-01,.309                                                           
AT225,2005-01-01,0                                                              
AT226,2005-01-01,0                                                              
AT311,2005-01-01,0                                                              
AT312,2005-01-01,0                                                              
AT313,2005-01-01,0                                                              
AT314,2005-01-01,0                                                              
AT315,2005-01-01,0                                                              
AT321,2005-01-01,0                                                              
AT322,2005-01-01,0                                                              
AT323,2005-01-01,0                                                              
AT331,2005-01-01,0                                                              
AT332,2005-01-01,0                                                              
AT333,2005-01-01,0                                                              
AT334,2005-01-01,0                                                              
AT335,2005-01-01,.188                                                           
AT341,2005-01-01,0                                                              
AT342,2005-01-01,0                                                              
BE211,2005-01-01,0                                                              
BE212,2005-01-01,0                                                              
BE213,2005-01-01,0                                                              
BE223,2005-01-01,0                                                              
BE224,2005-01-01,0                                                              
BE225,2005-01-01,0                                                              
BE231,2005-01-01,0                                                              
BE232,2005-01-01,0                                                              
BE233,2005-01-01,0                                                              
BE234,2005-01-01,.584                                                           
BE235,2005-01-01,.589                                                           
BE236,2005-01-01,0                                                              
BE241,2005-01-01,0                                                              
BE242,2005-01-01,0                                                              
BE252,2005-01-01,.555                                                           
BE253,2005-01-01,0                                                              
BE254,2005-01-01,.594                                                           
BE255,2005-01-01,.555                                                           
BE257,2005-01-01,0                                                              
BE258,2005-01-01,.555                                                           
BE323,2005-01-01,0                                                              
BE328,2005-01-01,.594                                                           
BE329,2005-01-01,0                                                              
BE32A,2005-01-01,0                                                              
BE32B,2005-01-01,0                                                              
BE32D,2005-01-01,0                                                              
BE331,2005-01-01,0                                                              
BE332,2005-01-01,0                                                              
BE334,2005-01-01,0                                                              
BE335,2005-01-01,0                                                              
BE343,2005-01-01,0                                                              
BE344,2005-01-01,0                                                              
BE351,2005-01-01,0                                                              
BE352,2005-01-01,0                                                              
BE353,2005-01-01,0                                                              
BG311,2005-01-01,0                                                              
BG312,2005-01-01,.114                                                           
BG313,2005-01-01,0                                                              
BG314,2005-01-01,0                                                              
BG315,2005-01-01,0                                                              
BG321,2005-01-01,0                                                              
BG322,2005-01-01,0                                                              
BG323,2005-01-01,0                                                              
BG325,2005-01-01,0                                                              
BG331,2005-01-01,0                                                              
BG332,2005-01-01,0                                                              
BG333,2005-01-01,0                                                              
BG341,2005-01-01,.382                                                           
BG342,2005-01-01,0                                                              
BG343,2005-01-01,0                                                              
BG344,2005-01-01,0                                                              
BG411,2005-01-01,0                                                              
BG412,2005-01-01,.229                                                           
BG413,2005-01-01,0                                                              
BG414,2005-01-01,0                                                              
BG415,2005-01-01,0                                                              
BG421,2005-01-01,0                                                              
BG422,2005-01-01,0                                                              
BG423,2005-01-01,.23                                                            
BG424,2005-01-01,0                                                              
BG425,2005-01-01,0                                                              
CH011,2005-01-01,0                                                              
CH012,2005-01-01,0                                                              
CH013,2005-01-01,0                                                              
CH021,2005-01-01,0                                                              
CH022,2005-01-01,0                                                              
CH023,2005-01-01,0                                                              
CH024,2005-01-01,0                                                              
CH025,2005-01-01,0                                                              
CH031,2005-01-01,0                                                              
CH032,2005-01-01,0                                                              
CH033,2005-01-01,0                                                              
CH040,2005-01-01,0                                                              
CH051,2005-01-01,0                                                              
CH052,2005-01-01,0                                                              
CH053,2005-01-01,0                                                              
CH054,2005-01-01,0                                                              
CH055,2005-01-01,0                                                              
CH056,2005-01-01,0                                                              
CH057,2005-01-01,0                                                              
CH061,2005-01-01,0                                                              
CH062,2005-01-01,0                                                              
CH063,2005-01-01,0                                                              
CH065,2005-01-01,0                                                              
CH066,2005-01-01,0                                                              
CH070,2005-01-01,0                                                              
CY000,2005-01-01,0                                                              
CZ010,2005-01-01,0                                                              
CZ020,2005-01-01,0                                                              
CZ031,2005-01-01,0                                                              
CZ032,2005-01-01,0                                                              
CZ041,2005-01-01,0                                                              
CZ042,2005-01-01,0                                                              
CZ051,2005-01-01,0                                                              
CZ052,2005-01-01,0                                                              
CZ053,2005-01-01,0                                                              
CZ063,2005-01-01,0                                                              
CZ064,2005-01-01,0                                                              
CZ071,2005-01-01,0                                                              
CZ072,2005-01-01,0                                                              
CZ080,2005-01-01,0                                                              
DE111,2005-01-01,0                                                              
DE113,2005-01-01,0                                                              
DE115,2005-01-01,0                                                              
DE116,2005-01-01,0                                                              
DE117,2005-01-01,0                                                              
DE118,2005-01-01,0                                                              
DE119,2005-01-01,0                                                              
