"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2011-01-01",5.301
"AL012","2011-01-01",11.36
"AL013","2011-01-01",3.376
"AL014","2011-01-01",8.867
"AL015","2011-01-01",6.977
"AL021","2011-01-01",7.25
"AL022","2011-01-01",10.876
"AL031","2011-01-01",7.477
"AL032","2011-01-01",10.838
"AL033","2011-01-01",6.853
"AL034","2011-01-01",4.208
"AL035","2011-01-01",11.229
"AT111","2011-01-01",2.932
"AT112","2011-01-01",4.516
"AT113","2011-01-01",4.06
"AT121","2011-01-01",2.465
"AT122","2011-01-01",3.088
"AT123","2011-01-01",4.716
"AT124","2011-01-01",1.329
"AT125","2011-01-01",3.151
"AT126","2011-01-01",4.272
"AT127","2011-01-01",4.23
"AT211","2011-01-01",1.412
"AT212","2011-01-01",-2.251
"AT213","2011-01-01",0.274
"AT221","2011-01-01",1.003
"AT222","2011-01-01",-1.626
"AT223","2011-01-01",0.055
"AT224","2011-01-01",4.188
"AT225","2011-01-01",2.941
"AT226","2011-01-01",-1.577
"AT311","2011-01-01",1.983
"AT312","2011-01-01",2.919
"AT313","2011-01-01",0.877
"AT314","2011-01-01",1.489
"AT315","2011-01-01",1.973
"AT321","2011-01-01",-3.381
"AT322","2011-01-01",-2.609
"AT323","2011-01-01",-0.062
"AT331","2011-01-01",-1.363
"AT332","2011-01-01",-0.951
"AT333","2011-01-01",-4.831
"AT334","2011-01-01",-2.716
"AT335","2011-01-01",0.454
"AT341","2011-01-01",1.268
"AT342","2011-01-01",3.996
"BA","2011-01-01",4.282
"BE211","2011-01-01",6.339
"BE212","2011-01-01",6.102
"BE213","2011-01-01",5.886
"BE223","2011-01-01",5.097
"BE224","2011-01-01",5.541
"BE225","2011-01-01",5.892
"BE231","2011-01-01",6.097
"BE234","2011-01-01",5.937
"BE235","2011-01-01",5.939
"BE236","2011-01-01",5.878
"BE241","2011-01-01",5.961
"BE242","2011-01-01",5.448
"BE251","2011-01-01",5.236
"BE252","2011-01-01",5.904
"BE253","2011-01-01",6.274
"BE254","2011-01-01",5.643
"BE255","2011-01-01",6.195
"BE256","2011-01-01",5.617
"BE258","2011-01-01",6.103
"BE310","2011-01-01",5.006
"BE323","2011-01-01",5.363
"BE328","2011-01-01",5.571
"BE329","2011-01-01",5.22
"BE32A","2011-01-01",5.643
"BE32B","2011-01-01",4.908
"BE32C","2011-01-01",5.824
"BE32D","2011-01-01",4.479
"BE331","2011-01-01",4.344
"BE332","2011-01-01",4.364
"BE334","2011-01-01",4.936
"BE335","2011-01-01",4.201
"BE336","2011-01-01",3.756
"BE342","2011-01-01",4.38
"BE343","2011-01-01",4.787
"BE344","2011-01-01",4.313
"BE345","2011-01-01",5.365
"BE351","2011-01-01",4.556
"BE352","2011-01-01",4.656
"BE353","2011-01-01",4.921
"BG311","2011-01-01",3.462
"BG312","2011-01-01",3.942
"BG313","2011-01-01",3.963
"BG314","2011-01-01",3.492
"BG315","2011-01-01",3.784
"BG321","2011-01-01",3.35
"BG322","2011-01-01",3.191
"BG323","2011-01-01",2.998
"BG324","2011-01-01",2.825
"BG325","2011-01-01",2.62
"BG331","2011-01-01",4.451
"BG332","2011-01-01",2.646
"BG333","2011-01-01",3.887
"BG334","2011-01-01",3.149
"BG341","2011-01-01",5.29
"BG342","2011-01-01",4.271
"BG343","2011-01-01",5.664
"BG344","2011-01-01",5.928
"BG411","2011-01-01",3.313
"BG412","2011-01-01",3.431
"BG413","2011-01-01",2.966
"BG414","2011-01-01",3.006
"BG415","2011-01-01",4.092
"BG421","2011-01-01",6.624
"BG422","2011-01-01",6.341
"BG423","2011-01-01",3.664
