"NUTS_CODE","TIMESTAMP","MEDIAN"
"AD","2003-01-01",0.997
"AL011","2003-01-01",0.602
"AL012","2003-01-01",0.748
"AL013","2003-01-01",0.63
"AL014","2003-01-01",0.783
"AL015","2003-01-01",0.71
"AL021","2003-01-01",0.925
"AL022","2003-01-01",0.763
"AL031","2003-01-01",0.747
"AL032","2003-01-01",0.843
"AL033","2003-01-01",1.013
"AL034","2003-01-01",0.754
"AL035","2003-01-01",0.984
"AT111","2003-01-01",0.446
"AT112","2003-01-01",1.076
"AT113","2003-01-01",0.364
"AT121","2003-01-01",1.169
"AT122","2003-01-01",1.054
"AT123","2003-01-01",1.446
"AT124","2003-01-01",1.152
"AT125","2003-01-01",1.273
"AT126","2003-01-01",1.188
"AT127","2003-01-01",1.06
"AT130","2003-01-01",0.875
"AT211","2003-01-01",0.979
"AT212","2003-01-01",1.141
"AT213","2003-01-01",0.786
"AT221","2003-01-01",0.76
"AT222","2003-01-01",1.293
"AT223","2003-01-01",0.805
"AT224","2003-01-01",0.705
"AT225","2003-01-01",0.722
"AT226","2003-01-01",0.9
"AT311","2003-01-01",2.028
"AT312","2003-01-01",1.379
"AT313","2003-01-01",1.301
"AT314","2003-01-01",1.244
"AT315","2003-01-01",1.59
"AT321","2003-01-01",1.342
"AT322","2003-01-01",1.921
"AT323","2003-01-01",1.292
"AT331","2003-01-01",2.057
"AT332","2003-01-01",0.314
"AT333","2003-01-01",0.854
"AT334","2003-01-01",0.852
"AT335","2003-01-01",1.893
"AT341","2003-01-01",2.079
"AT342","2003-01-01",0.971
"BA","2003-01-01",0.725
"BE100","2003-01-01",0.52
"BE211","2003-01-01",0.58
"BE212","2003-01-01",0.287
"BE213","2003-01-01",0.607
"BE223","2003-01-01",0.617
"BE224","2003-01-01",0.572
"BE225","2003-01-01",0.385
"BE231","2003-01-01",0.712
"BE232","2003-01-01",0.163
"BE233","2003-01-01",0.276
"BE234","2003-01-01",0.414
"BE235","2003-01-01",0.807
"BE236","2003-01-01",0.145
"BE241","2003-01-01",0.611
"BE242","2003-01-01",0.703
"BE251","2003-01-01",0.529
"BE252","2003-01-01",-0.072
"BE253","2003-01-01",0.336
"BE254","2003-01-01",0.475
"BE255","2003-01-01",0.103
"BE256","2003-01-01",0.318
"BE257","2003-01-01",0.576
"BE258","2003-01-01",-0.099
"BE310","2003-01-01",0.787
"BE323","2003-01-01",0.583
"BE328","2003-01-01",0.702
"BE329","2003-01-01",0.622
"BE32A","2003-01-01",0.622
"BE32B","2003-01-01",0.678
"BE32C","2003-01-01",0.675
"BE32D","2003-01-01",0.717
"BE331","2003-01-01",0.718
"BE332","2003-01-01",0.768
"BE334","2003-01-01",0.526
"BE335","2003-01-01",0.727
"BE336","2003-01-01",0.741
"BE341","2003-01-01",0.793
"BE342","2003-01-01",0.852
"BE343","2003-01-01",0.911
"BE344","2003-01-01",0.934
"BE345","2003-01-01",0.933
"BE351","2003-01-01",0.744
"BE352","2003-01-01",0.617
"BE353","2003-01-01",0.775
"BG311","2003-01-01",1.293
"BG312","2003-01-01",-0.779
"BG313","2003-01-01",-0.253
"BG314","2003-01-01",-1.231
"BG315","2003-01-01",-0.173
"BG321","2003-01-01",-0.219
"BG322","2003-01-01",-0.369
"BG323","2003-01-01",0.242
"BG324","2003-01-01",0.168
"BG325","2003-01-01",0.463
"BG331","2003-01-01",0.572
"BG332","2003-01-01",0.757
"BG333","2003-01-01",0.549
"BG334","2003-01-01",-0.229
"BG341","2003-01-01",0.71
"BG342","2003-01-01",0.411
"BG343","2003-01-01",0.912
"BG344","2003-01-01",0.723
"BG411","2003-01-01",0.425
"BG412","2003-01-01",-0.361
"BG413","2003-01-01",1.11
"BG414","2003-01-01",1.001
"BG415","2003-01-01",1.058
"BG421","2003-01-01",0.948
"BG422","2003-01-01",0.915
"BG423","2003-01-01",0.929
"BG424","2003-01-01",0.817
"BG425","2003-01-01",0.935
"CH011","2003-01-01",1.236
"CH012","2003-01-01",1.08
"CH013","2003-01-01",0.804
"CH021","2003-01-01",2.448
"CH022","2003-01-01",3.173
"CH023","2003-01-01",1.01
"CH024","2003-01-01",2.769
"CH025","2003-01-01",1.136
"CH032","2003-01-01",0.933
"CH033","2003-01-01",1.243
"CH040","2003-01-01",0.927
"CH051","2003-01-01",1.264
"CH052","2003-01-01",0.82
