NUTS_ID, TIMESTAMP, MEDIAN                                                      
AL011,2006-01-01,1.575                                                          
AL012,2006-01-01,1.059                                                          
AL013,2006-01-01,1.585                                                          
AL014,2006-01-01,1.415                                                          
AL015,2006-01-01,1.287                                                          
AL021,2006-01-01,1.6                                                            
AL022,2006-01-01,1.184                                                          
AL031,2006-01-01,1.513                                                          
AL032,2006-01-01,1.121                                                          
AL033,2006-01-01,1.427                                                          
AL034,2006-01-01,1.751                                                          
AL035,2006-01-01,1.038                                                          
AT111,2006-01-01,.7935                                                          
AT112,2006-01-01,.8175                                                          
AT113,2006-01-01,.713                                                           
AT121,2006-01-01,.388                                                           
AT122,2006-01-01,.783                                                           
AT123,2006-01-01,.5755                                                          
AT124,2006-01-01,.388                                                           
AT125,2006-01-01,.576                                                           
AT126,2006-01-01,.653                                                           
AT127,2006-01-01,.762                                                           
AT130,2006-01-01,.653                                                           
AT211,2006-01-01,-.2755                                                         
AT212,2006-01-01,-.502                                                          
AT213,2006-01-01,.023                                                           
AT221,2006-01-01,.291                                                           
AT222,2006-01-01,.26                                                            
AT223,2006-01-01,.538                                                           
AT224,2006-01-01,.663                                                           
AT225,2006-01-01,.3255                                                          
AT226,2006-01-01,.029                                                           
AT311,2006-01-01,-.6575                                                         
AT312,2006-01-01,-.256                                                          
AT313,2006-01-01,-.0185                                                         
AT314,2006-01-01,.469                                                           
AT315,2006-01-01,.1245                                                          
AT321,2006-01-01,-.227                                                          
AT322,2006-01-01,-.0325                                                         
AT323,2006-01-01,-.003                                                          
AT331,2006-01-01,-1.095                                                         
AT332,2006-01-01,-.45                                                           
AT333,2006-01-01,-.643                                                          
AT334,2006-01-01,-.908                                                          
AT335,2006-01-01,-.268                                                          
AT341,2006-01-01,-1.32                                                          
AT342,2006-01-01,-1.6                                                           
BE100,2006-01-01,-2.57                                                          
BE211,2006-01-01,-2.425                                                         
BE212,2006-01-01,-2.475                                                         
BE213,2006-01-01,-2.415                                                         
BE223,2006-01-01,-2.22                                                          
BE224,2006-01-01,-2.34                                                          
BE225,2006-01-01,-2.25                                                          
BE231,2006-01-01,-2.42                                                          
BE232,2006-01-01,-2.405                                                         
BE233,2006-01-01,-2.165                                                         
BE234,2006-01-01,-2.345                                                         
BE235,2006-01-01,-2.43                                                          
