year,geo,variable,sector,unit,value,namefile
2019,AT111,area,,KM2,701,area.xlsx
2020,AT111,area,,KM2,701,area.xlsx
2021,AT111,area,,KM2,701,area.xlsx
2022,AT111,area,,KM2,701,area.xlsx
2019,AT112,area,,KM2,1792,area.xlsx
2020,AT112,area,,KM2,1792,area.xlsx
2021,AT112,area,,KM2,1792,area.xlsx
2022,AT112,area,,KM2,1792,area.xlsx
2019,AT113,area,,KM2,1471,area.xlsx
2020,AT113,area,,KM2,1471,area.xlsx
2021,AT113,area,,KM2,1471,area.xlsx
2022,AT113,area,,KM2,1471,area.xlsx
2019,AT121,area,,KM2,3356,area.xlsx
2020,AT121,area,,KM2,3356,area.xlsx
2021,AT121,area,,KM2,3356,area.xlsx
2022,AT121,area,,KM2,3356,area.xlsx
2019,AT122,area,,KM2,3368,area.xlsx
2020,AT122,area,,KM2,3368,area.xlsx
2021,AT122,area,,KM2,3368,area.xlsx
2022,AT122,area,,KM2,3368,area.xlsx
2019,AT123,area,,KM2,1230,area.xlsx
2020,AT123,area,,KM2,1230,area.xlsx
2021,AT123,area,,KM2,1230,area.xlsx
2022,AT123,area,,KM2,1230,area.xlsx
2019,AT124,area,,KM2,4615,area.xlsx
2020,AT124,area,,KM2,4615,area.xlsx
2021,AT124,area,,KM2,4615,area.xlsx
2022,AT124,area,,KM2,4615,area.xlsx
2019,AT125,area,,KM2,2412,area.xlsx
2020,AT125,area,,KM2,2412,area.xlsx
2021,AT125,area,,KM2,2412,area.xlsx
2022,AT125,area,,KM2,2412,area.xlsx
2019,AT126,area,,KM2,2723,area.xlsx
2020,AT126,area,,KM2,2723,area.xlsx
2021,AT126,area,,KM2,2723,area.xlsx
2022,AT126,area,,KM2,2723,area.xlsx
2019,AT127,area,,KM2,1475,area.xlsx
2020,AT127,area,,KM2,1475,area.xlsx
2021,AT127,area,,KM2,1475,area.xlsx
2022,AT127,area,,KM2,1475,area.xlsx
2019,AT130,area,,KM2,415,area.xlsx
2020,AT130,area,,KM2,415,area.xlsx
2021,AT130,area,,KM2,415,area.xlsx
2022,AT130,area,,KM2,415,area.xlsx
2019,AT211,area,,KM2,2030,area.xlsx
2020,AT211,area,,KM2,2030,area.xlsx
2021,AT211,area,,KM2,2030,area.xlsx
2022,AT211,area,,KM2,2030,area.xlsx
2019,AT212,area,,KM2,4132,area.xlsx
2020,AT212,area,,KM2,4132,area.xlsx
2021,AT212,area,,KM2,4132,area.xlsx
2022,AT212,area,,KM2,4132,area.xlsx
2019,AT213,area,,KM2,3375,area.xlsx
2020,AT213,area,,KM2,3375,area.xlsx
2021,AT213,area,,KM2,3375,area.xlsx
2022,AT213,area,,KM2,3375,area.xlsx
2019,AT221,area,,KM2,1212,area.xlsx
2020,AT221,area,,KM2,1212,area.xlsx
2021,AT221,area,,KM2,1212,area.xlsx
2022,AT221,area,,KM2,1212,area.xlsx
2019,AT222,area,,KM2,3319,area.xlsx
2020,AT222,area,,KM2,3319,area.xlsx
2021,AT222,area,,KM2,3319,area.xlsx
2022,AT222,area,,KM2,3319,area.xlsx
2019,AT223,area,,KM2,3210,area.xlsx
2020,AT223,area,,KM2,3210,area.xlsx
2021,AT223,area,,KM2,3210,area.xlsx
2022,AT223,area,,KM2,3210,area.xlsx
2019,AT224,area,,KM2,3329,area.xlsx
2020,AT224,area,,KM2,3329,area.xlsx
2021,AT224,area,,KM2,3329,area.xlsx
2022,AT224,area,,KM2,3329,area.xlsx
2019,AT225,area,,KM2,2267,area.xlsx
2020,AT225,area,,KM2,2267,area.xlsx
2021,AT225,area,,KM2,2267,area.xlsx
2022,AT225,area,,KM2,2267,area.xlsx
2019,AT226,area,,KM2,3061,area.xlsx
2020,AT226,area,,KM2,3061,area.xlsx
2021,AT226,area,,KM2,3061,area.xlsx
2022,AT226,area,,KM2,3061,area.xlsx
2019,AT311,area,,KM2,2823,area.xlsx
2020,AT311,area,,KM2,2823,area.xlsx
2021,AT311,area,,KM2,2823,area.xlsx
2022,AT311,area,,KM2,2823,area.xlsx
2019,AT312,area,,KM2,1744,area.xlsx
2020,AT312,area,,KM2,1744,area.xlsx
2021,AT312,area,,KM2,1744,area.xlsx
2022,AT312,area,,KM2,1744,area.xlsx
2019,AT313,area,,KM2,2660,area.xlsx
2020,AT313,area,,KM2,2660,area.xlsx
2021,AT313,area,,KM2,2660,area.xlsx
2022,AT313,area,,KM2,2660,area.xlsx
2019,AT314,area,,KM2,2238,area.xlsx
2020,AT314,area,,KM2,2238,area.xlsx
2021,AT314,area,,KM2,2238,area.xlsx
2022,AT314,area,,KM2,2238,area.xlsx
2019,AT315,area,,KM2,2516,area.xlsx
2020,AT315,area,,KM2,2516,area.xlsx
2021,AT315,area,,KM2,2516,area.xlsx
2022,AT315,area,,KM2,2516,area.xlsx
2019,AT321,area,,KM2,1020,area.xlsx
2020,AT321,area,,KM2,1020,area.xlsx
2021,AT321,area,,KM2,1020,area.xlsx
2022,AT321,area,,KM2,1020,area.xlsx
2019,AT322,area,,KM2,4396,area.xlsx
2020,AT322,area,,KM2,4396,area.xlsx
2021,AT322,area,,KM2,4396,area.xlsx
2022,AT322,area,,KM2,4396,area.xlsx
2019,AT323,area,,KM2,1738,area.xlsx
2020,AT323,area,,KM2,1738,area.xlsx
2021,AT323,area,,KM2,1738,area.xlsx
2022,AT323,area,,KM2,1738,area.xlsx
2019,AT331,area,,KM2,1237,area.xlsx
2020,AT331,area,,KM2,1237,area.xlsx
2021,AT331,area,,KM2,1237,area.xlsx
2022,AT331,area,,KM2,1237,area.xlsx
2019,AT332,area,,KM2,2095,area.xlsx
2020,AT332,area,,KM2,2095,area.xlsx
2021,AT332,area,,KM2,2095,area.xlsx
2022,AT332,area,,KM2,2095,area.xlsx
2019,AT333,area,,KM2,2020,area.xlsx
2020,AT333,area,,KM2,2020,area.xlsx
2021,AT333,area,,KM2,2020,area.xlsx
2022,AT333,area,,KM2,2020,area.xlsx
2019,AT334,area,,KM2,3320,area.xlsx
2020,AT334,area,,KM2,3320,area.xlsx
2021,AT334,area,,KM2,3320,area.xlsx
2022,AT334,area,,KM2,3320,area.xlsx
2019,AT335,area,,KM2,3976,area.xlsx
2020,AT335,area,,KM2,3976,area.xlsx
2021,AT335,area,,KM2,3976,area.xlsx
2022,AT335,area,,KM2,3976,area.xlsx
2019,AT341,area,,KM2,1876,area.xlsx
2020,AT341,area,,KM2,1876,area.xlsx
2021,AT341,area,,KM2,1876,area.xlsx
2022,AT341,area,,KM2,1876,area.xlsx
2019,AT342,area,,KM2,726,area.xlsx
2020,AT342,area,,KM2,726,area.xlsx
2021,AT342,area,,KM2,726,area.xlsx
2022,AT342,area,,KM2,726,area.xlsx
2019,BE100,area,,KM2,162,area.xlsx
2020,BE100,area,,KM2,162,area.xlsx
2021,BE100,area,,KM2,162,area.xlsx
2022,BE100,area,,KM2,162,area.xlsx
2019,BE211,area,,KM2,1004,area.xlsx
2020,BE211,area,,KM2,1004,area.xlsx
2021,BE211,area,,KM2,1004,area.xlsx
2022,BE211,area,,KM2,1004,area.xlsx
2019,BE212,area,,KM2,512,area.xlsx
2020,BE212,area,,KM2,512,area.xlsx
2021,BE212,area,,KM2,512,area.xlsx
2022,BE212,area,,KM2,512,area.xlsx
2019,BE213,area,,KM2,1360,area.xlsx
2020,BE213,area,,KM2,1360,area.xlsx
2021,BE213,area,,KM2,1360,area.xlsx
2022,BE213,area,,KM2,1360,area.xlsx
2019,BE221,area,,KM2,909,area.xlsx
2020,BE221,area,,KM2,909,area.xlsx
2021,BE221,area,,KM2,,area.xlsx
2022,BE221,area,,KM2,,area.xlsx
2019,BE222,area,,KM2,886,area.xlsx
2020,BE222,area,,KM2,886,area.xlsx
2021,BE222,area,,KM2,,area.xlsx
2022,BE222,area,,KM2,,area.xlsx
2019,BE223,area,,KM2,634,area.xlsx
2020,BE223,area,,KM2,634,area.xlsx
2021,BE223,area,,KM2,634,area.xlsx
2022,BE223,area,,KM2,634,area.xlsx
2019,BE224,area,,KM2,,area.xlsx
2020,BE224,area,,KM2,,area.xlsx
2021,BE224,area,,KM2,884,area.xlsx
2022,BE224,area,,KM2,884,area.xlsx
2019,BE225,area,,KM2,,area.xlsx
2020,BE225,area,,KM2,,area.xlsx
2021,BE225,area,,KM2,911,area.xlsx
2022,BE225,area,,KM2,911,area.xlsx
2019,BE231,area,,KM2,473,area.xlsx
2020,BE231,area,,KM2,473,area.xlsx
2021,BE231,area,,KM2,473,area.xlsx
2022,BE231,area,,KM2,473,area.xlsx
2019,BE232,area,,KM2,347,area.xlsx
2020,BE232,area,,KM2,347,area.xlsx
2021,BE232,area,,KM2,347,area.xlsx
2022,BE232,area,,KM2,347,area.xlsx
2019,BE233,area,,KM2,336,area.xlsx
2020,BE233,area,,KM2,336,area.xlsx
2021,BE233,area,,KM2,336,area.xlsx
2022,BE233,area,,KM2,336,area.xlsx
2019,BE234,area,,KM2,950,area.xlsx
2020,BE234,area,,KM2,950,area.xlsx
2021,BE234,area,,KM2,950,area.xlsx
2022,BE234,area,,KM2,950,area.xlsx
2019,BE235,area,,KM2,423,area.xlsx
2020,BE235,area,,KM2,423,area.xlsx
2021,BE235,area,,KM2,423,area.xlsx
2022,BE235,area,,KM2,423,area.xlsx
2019,BE236,area,,KM2,480,area.xlsx
2020,BE236,area,,KM2,480,area.xlsx
2021,BE236,area,,KM2,480,area.xlsx
2022,BE236,area,,KM2,480,area.xlsx
2019,BE241,area,,KM2,949,area.xlsx
2020,BE241,area,,KM2,949,area.xlsx
2021,BE241,area,,KM2,949,area.xlsx
2022,BE241,area,,KM2,949,area.xlsx
2019,BE242,area,,KM2,1169,area.xlsx
2020,BE242,area,,KM2,1169,area.xlsx
2021,BE242,area,,KM2,1169,area.xlsx
2022,BE242,area,,KM2,1169,area.xlsx
2019,BE251,area,,KM2,665,area.xlsx
2020,BE251,area,,KM2,665,area.xlsx
2021,BE251,area,,KM2,665,area.xlsx
2022,BE251,area,,KM2,665,area.xlsx
2019,BE252,area,,KM2,365,area.xlsx
2020,BE252,area,,KM2,365,area.xlsx
2021,BE252,area,,KM2,365,area.xlsx
2022,BE252,area,,KM2,365,area.xlsx
2019,BE253,area,,KM2,554,area.xlsx
2020,BE253,area,,KM2,554,area.xlsx
2021,BE253,area,,KM2,554,area.xlsx
2022,BE253,area,,KM2,554,area.xlsx
2019,BE254,area,,KM2,406,area.xlsx
2020,BE254,area,,KM2,406,area.xlsx
2021,BE254,area,,KM2,406,area.xlsx
2022,BE254,area,,KM2,406,area.xlsx
2019,BE255,area,,KM2,293,area.xlsx
2020,BE255,area,,KM2,293,area.xlsx
2021,BE255,area,,KM2,293,area.xlsx
2022,BE255,area,,KM2,293,area.xlsx
2019,BE256,area,,KM2,274,area.xlsx
2020,BE256,area,,KM2,274,area.xlsx
2021,BE256,area,,KM2,274,area.xlsx
2022,BE256,area,,KM2,274,area.xlsx
2019,BE257,area,,KM2,332,area.xlsx
2020,BE257,area,,KM2,332,area.xlsx
2021,BE257,area,,KM2,332,area.xlsx
2022,BE257,area,,KM2,332,area.xlsx
2019,BE258,area,,KM2,278,area.xlsx
2020,BE258,area,,KM2,278,area.xlsx
2021,BE258,area,,KM2,278,area.xlsx
2022,BE258,area,,KM2,278,area.xlsx
2019,BE310,area,,KM2,1097,area.xlsx
2020,BE310,area,,KM2,1097,area.xlsx
2021,BE310,area,,KM2,1097,area.xlsx
2022,BE310,area,,KM2,1097,area.xlsx
2019,BE321,area,,KM2,491,area.xlsx
2020,BE321,area,,KM2,491,area.xlsx
2021,BE321,area,,KM2,,area.xlsx
2022,BE321,area,,KM2,,area.xlsx
2019,BE322,area,,KM2,559,area.xlsx
2020,BE322,area,,KM2,559,area.xlsx
2021,BE322,area,,KM2,,area.xlsx
2022,BE322,area,,KM2,,area.xlsx
2019,BE323,area,,KM2,589,area.xlsx
2020,BE323,area,,KM2,589,area.xlsx
2021,BE323,area,,KM2,589,area.xlsx
2022,BE323,area,,KM2,589,area.xlsx
2019,BE324,area,,KM2,102,area.xlsx
2020,BE324,area,,KM2,102,area.xlsx
2021,BE324,area,,KM2,,area.xlsx
2022,BE324,area,,KM2,,area.xlsx
2019,BE325,area,,KM2,519,area.xlsx
2020,BE325,area,,KM2,519,area.xlsx
2021,BE325,area,,KM2,,area.xlsx
2022,BE325,area,,KM2,,area.xlsx
2019,BE326,area,,KM2,940,area.xlsx
2020,BE326,area,,KM2,940,area.xlsx
2021,BE326,area,,KM2,,area.xlsx
2022,BE326,area,,KM2,,area.xlsx
2019,BE327,area,,KM2,613,area.xlsx
2020,BE327,area,,KM2,613,area.xlsx
2021,BE327,area,,KM2,,area.xlsx
2022,BE327,area,,KM2,,area.xlsx
2019,BE328,area,,KM2,,area.xlsx
2020,BE328,area,,KM2,,area.xlsx
2021,BE328,area,,KM2,715,area.xlsx
2022,BE328,area,,KM2,715,area.xlsx
2019,BE329,area,,KM2,,area.xlsx
2020,BE329,area,,KM2,,area.xlsx
2021,BE329,area,,KM2,219,area.xlsx
2022,BE329,area,,KM2,219,area.xlsx
2019,BE32A,area,,KM2,,area.xlsx
2020,BE32A,area,,KM2,,area.xlsx
2021,BE32A,area,,KM2,672,area.xlsx
2022,BE32A,area,,KM2,672,area.xlsx
